Date,AMZN,BAC,GOOGL,MCD,VZ,Cur Quarter,FSQuarter,year,amzn4Qsum,amznPEratio,amznyeps,bac4Qsum,bacPEratio,bacyeps,googl4Qsum,googlPEratio,googlyeps,mcd4Qsum,mcdPEratio,mcdyeps,vz4Qsum,vzPEratio,vzyeps
2014-10-31,15.27299976348877,17.15999984741211,28.39349937438965,93.7300033569336,50.25,2014Q4,2014Q3,2014,-0.48,-31.818749507268272,-0.5399999999999999,0.38999999999999996,43.999999608749,0.35,18.73,1.5159369660645834,20.57,5.1,18.378432030771293,4.83,4.81,10.446985446985448,2.51
2014-11-03,15.28600025177002,17.270000457763672,28.188499450683594,93.61000061035156,50.38999938964844,2014Q4,2014Q3,2014,-0.48,-31.84583385785421,-0.5399999999999999,0.38999999999999996,44.28205245580429,0.35,18.73,1.5049919621293963,20.57,5.1,18.35490208046109,4.83,4.81,10.47609134919926,2.51
2014-11-04,15.14050006866455,17.209999084472656,28.20949935913086,94.47000122070312,50.33000183105469,2014Q4,2014Q3,2014,-0.48,-31.542708476384483,-0.5399999999999999,0.38999999999999996,44.12820278069913,0.35,18.73,1.5061131531837084,20.57,5.1,18.52352965111826,4.83,4.81,10.463617844294115,2.51
2014-11-05,14.826000213623049,17.34000015258789,27.79750061035156,94.63999938964844,50.34000015258789,2014Q4,2014Q3,2014,-0.48,-30.88750044504802,-0.5399999999999999,0.38999999999999996,44.46153885278947,0.35,18.73,1.4841164234037136,20.57,5.1,18.556862625421264,4.83,4.81,10.46569649741952,2.51
2014-11-06,14.83199977874756,17.360000610351562,27.58449935913086,94.66000366210938,50.279998779296875,2014Q4,2014Q3,2014,-0.48,-30.89999953905742,-0.5399999999999999,0.38999999999999996,44.512822077824524,0.35,18.73,1.472744226328396,20.57,5.1,18.560785031786153,4.83,4.81,10.45322219943802,2.51
2014-11-07,14.993000030517578,17.360000610351562,27.590999603271484,95.0999984741211,50.86000061035156,2014Q4,2014Q3,2014,-0.48,-31.235416730244957,-0.5399999999999999,0.38999999999999996,44.512822077824524,0.35,18.73,1.4730912762024284,20.57,5.1,18.64705852433747,4.83,4.81,10.573804700696792,2.51
2014-11-10,15.255499839782717,17.3700008392334,27.911500930786133,95.11000061035156,50.720001220703125,2014Q4,2014Q3,2014,-0.48,-31.78229133288066,-0.5399999999999999,0.38999999999999996,44.53846369034205,0.35,18.73,1.4902029327702153,20.57,5.1,18.649019727519917,4.83,4.81,10.54469879848298,2.51
2014-11-11,15.600500106811523,17.31999969482422,28.06450080871582,95.13999938964844,50.61000061035156,2014Q4,2014Q3,2014,-0.48,-32.501041889190674,-0.5399999999999999,0.38999999999999996,44.41025562775441,0.35,18.73,1.4983716395470272,20.57,5.1,18.654901841107538,4.83,4.81,10.52182964872174,2.51
2014-11-12,15.575499534606934,17.290000915527344,27.912500381469727,95.33000183105467,50.81999969482422,2014Q4,2014Q3,2014,-0.48,-32.44895736376445,-0.5399999999999999,0.38999999999999996,44.33333568083935,0.35,18.73,1.4902562937250254,20.57,5.1,18.692157221775428,4.83,4.81,10.565488502042458,2.51
2014-11-13,15.824000358581545,17.219999313354492,27.82200050354004,95.4800033569336,51.20000076293945,2014Q4,2014Q3,2014,-0.48,-32.966667413711555,-0.5399999999999999,0.38999999999999996,44.15384439321665,0.35,18.73,1.4854244796337448,20.57,5.1,18.721569285673255,4.83,4.81,10.644490803105917,2.51
2014-11-14,16.391000747680664,17.139999389648438,27.75950050354004,96.20999908447266,51.5,2014Q4,2014Q3,2014,-0.48,-34.14791822433472,-0.5399999999999999,0.38999999999999996,43.94871638371395,0.35,18.73,1.4820875869482135,20.57,5.1,18.864705702837778,4.83,4.81,10.706860706860708,2.51
2014-11-17,16.15250015258789,17.09000015258789,27.332000732421875,95.97000122070312,51.400001525878906,2014Q4,2014Q3,2014,-0.48,-33.651041984558105,-0.5399999999999999,0.38999999999999996,43.820513211763824,0.35,18.73,1.4592632531992458,20.57,5.1,18.817647298177086,4.83,4.81,10.68607100330123,2.51
2014-11-18,16.24650001525879,17.139999389648438,27.225500106811523,96.41000366210938,51.220001220703125,2014Q4,2014Q3,2014,-0.48,-33.846875031789146,-0.5399999999999999,0.38999999999999996,43.94871638371395,0.35,18.73,1.453577154661587,20.57,5.1,18.903922286688115,4.83,4.81,10.648648902433083,2.51
2014-11-19,16.32699966430664,17.059999465942383,27.36000061035156,96.55999755859376,50.4900016784668,2014Q4,2014Q3,2014,-0.48,-34.01458263397217,-0.5399999999999999,0.38999999999999996,43.74358837421124,0.35,18.73,1.4607581746049951,20.57,5.1,18.93333285462623,4.83,4.81,10.496881845835095,2.51
2014-11-20,16.527000427246094,17.0,27.187999725341797,96.63999938964844,50.189998626708984,2014Q4,2014Q3,2014,-0.48,-34.43125089009603,-0.5399999999999999,0.38999999999999996,43.58974358974359,0.35,18.73,1.4515749986834916,20.57,5.1,18.94901948816636,4.83,4.81,10.434511149003947,2.51
2014-11-21,16.631500244140625,17.1200008392334,27.29450035095215,96.68000030517578,50.209999084472656,2014Q4,2014Q3,2014,-0.48,-34.64895884195964,-0.5399999999999999,0.38999999999999996,43.89743804931641,0.35,18.73,1.4572610972211504,20.57,5.1,18.956862804936428,4.83,4.81,10.438669248331115,2.51
2014-11-24,16.781999588012695,17.18000030517578,27.374000549316406,97.16999816894533,49.5,2014Q4,2014Q3,2014,-0.48,-34.962499141693115,-0.5399999999999999,0.38999999999999996,44.05128283378406,0.35,18.73,1.46150563530787,20.57,5.1,19.052940817440263,4.83,4.81,10.291060291060292,2.51
2014-11-25,16.75200080871582,17.100000381469727,27.46150016784668,97.0,49.34000015258789,2014Q4,2014Q3,2014,-0.48,-34.90000168482463,-0.5399999999999999,0.38999999999999996,43.846154824281356,0.35,18.73,1.466177264700837,20.57,5.1,19.019607843137255,4.83,4.81,10.257796289519312,2.51
2014-11-26,16.678499221801758,17.110000610351562,27.386499404907227,96.22000122070312,50.040000915527344,2014Q4,2014Q3,2014,-0.48,-34.74687337875366,-0.5399999999999999,0.38999999999999996,43.87179643679888,0.35,18.73,1.4621729527446463,20.57,5.1,18.86666690602022,4.83,4.81,10.40332659366473,2.51
2014-11-28,16.93199920654297,17.040000915527344,27.45400047302246,96.80999755859376,50.59000015258789,2014Q4,2014Q3,2014,-0.48,-35.27499834696452,-0.5399999999999999,0.38999999999999996,43.692310039813705,0.35,18.73,1.4657768538719946,20.57,5.1,18.98235246246937,4.83,4.81,10.517671549394572,2.51
2014-12-01,16.299999237060547,16.790000915527344,26.982500076293945,95.77999877929688,50.029998779296875,2014Q4,2014Q3,2014,-0.48,-33.958331743876144,-0.5399999999999999,0.38999999999999996,43.05128439878806,0.35,18.73,1.4406033142708994,20.57,5.1,18.780391917509192,4.83,4.81,10.401247147462968,2.51
2014-12-02,16.315500259399414,17.149999618530273,26.929500579833984,95.11000061035156,49.11000061035156,2014Q4,2014Q3,2014,-0.48,-33.99062554041545,-0.5399999999999999,0.38999999999999996,43.974357996231475,0.35,18.73,1.4377736561577141,20.57,5.1,18.649019727519917,4.83,4.81,10.209979336871427,2.51
2014-12-03,15.824999809265137,17.290000915527344,26.848499298095703,95.5,48.790000915527344,2014Q4,2014Q3,2014,-0.48,-32.968749602635704,-0.5399999999999999,0.38999999999999996,44.33333568083935,0.35,18.73,1.433448974804896,20.57,5.1,18.725490196078432,4.83,4.81,10.14345133378947,2.51
2014-12-04,15.846500396728516,17.209999084472656,27.128999710083008,95.66000366210938,48.779998779296875,2014Q4,2014Q3,2014,-0.48,-33.01354249318441,-0.5399999999999999,0.38999999999999996,44.12820278069913,0.35,18.73,1.448424971173679,20.57,5.1,18.7568634631587,4.83,4.81,10.14137188758771,2.51
2014-12-05,15.631500244140623,17.68000030517578,26.40399932861328,96.30999755859376,48.61000061035156,2014Q4,2014Q3,2014,-0.48,-32.5656255086263,-0.5399999999999999,0.38999999999999996,45.33333411583534,0.35,18.73,1.40971699565474,20.57,5.1,18.884313246783094,4.83,4.81,10.106029232921324,2.51
2014-12-08,15.33199977874756,17.65999984741211,26.536500930786133,92.61000061035156,48.900001525878906,2014Q4,2014Q3,2014,-0.48,-31.941666205724086,-0.5399999999999999,0.38999999999999996,45.282050890800285,0.35,18.73,1.416791293688528,20.57,5.1,18.158823649088543,4.83,4.81,10.16632048355071,2.51
2014-12-09,15.625,17.559999465942383,26.805500030517575,91.36000061035156,46.91999816894531,2014Q4,2014Q3,2014,-0.48,-32.552083333333336,-0.5399999999999999,0.38999999999999996,45.02563965626253,0.35,18.73,1.4311532317414615,20.57,5.1,17.913725609872856,4.83,4.81,9.754677374001105,2.51
2014-12-10,15.291999816894531,17.3799991607666,26.402000427246097,90.0,46.18000030517578,2014Q4,2014Q3,2014,-0.48,-31.85833295186361,-0.5399999999999999,0.38999999999999996,44.56410041222206,0.35,18.73,1.40961027374512,20.57,5.1,17.647058823529413,4.83,4.81,9.60083166427771,2.51
